"CVE","analfabeta","sin_primaria","sin_drenaje","sin_electricidad","sin_agua_entubada","con_hacinamiento","con_piso_tierra","habitantes_5000","salarios_minimos"
8032,2.37,13.29,0.68,0.44,0.94,26.5,2.1,2.08,35.42
8033,9.38,42.57,11.4,5.64,13.79,21.15,4.3,100,76.92
8034,3.56,29.57,3.13,0.68,0.48,18.64,0.9,100,71.77
8035,6.09,28.08,4.7,2.13,0.95,29.31,2.81,100,48.65
8036,4.52,19.76,2.92,0.7,1.2,32.17,3.3,16.92,42.53
8037,1.91,11.56,0.23,0.19,1.47,31.99,2,0.84,41.98
8038,4.06,32.98,3.38,1.03,1.42,23.69,1.62,100,39.09
8039,4.58,26.3,2.48,0.55,0.42,22.15,1.09,100,54.63
8040,5.84,29.01,2.61,3.66,3.32,30.88,4.62,47.83,50.15
8041,19.86,48.46,20.72,16.11,18.7,55.79,8.33,100,80.49
8042,6.26,43.36,6.53,7.04,89.01,17,2.64,100,58.5
8043,4.47,33.23,2.6,1.53,1.3,21.93,1.53,100,52.99
8044,4.38,24.86,5.85,1.14,3.88,26.77,1.53,100,41.02
8045,3.97,22.46,1.36,0.48,0.74,28.52,1.25,28.64,35.59
8046,21.42,47.2,24.61,64.07,62,48.66,22.08,100,74.81
8047,12.09,43.2,15.72,26.93,11.03,38.09,9.76,100,62.75
8048,3.52,30.43,3.23,0.58,0.33,19.45,0.97,100,39.13
8049,15.56,42.7,19.45,25.64,10.23,31,8.88,100,68.85
8050,2.16,15.1,0.64,0.32,0.27,25.35,0.7,6.38,38.38
8051,8.95,37.43,4.35,27.95,17.5,47.79,7.35,100,53.77
8052,3.51,23.22,0.92,1.62,1.91,23.07,1.41,13.53,31.11
8053,4.75,31.38,3.85,0.44,0.25,31.02,1.72,100,54.69
8054,1.8,12.89,2.02,0.51,0.48,28.31,0.78,100,36.32
8055,4.06,24.96,2.24,1.3,0.98,29.56,0.95,66.82,40.77
8056,9.85,45.88,10.72,1.97,4.4,17.94,3.28,100,79.2
8057,8.74,40,9.46,4.51,2.72,15.82,3.72,100,62.74
8058,3.76,22.87,1.21,0.94,2.79,26.18,1.48,100,34.3
8059,3.99,18.9,4.03,1.47,2.58,23.95,1.24,100,33.43
8060,3.76,17.23,2.71,0.52,2.98,25.35,1.49,15.94,34.48
8061,5.11,37.44,4.97,1.76,0.88,19.4,2.2,100,54.59
8062,3.75,22.06,1.78,0.38,0.53,27.76,0.93,65.96,30.8
8063,8.93,42.33,2.44,15.7,9.56,29.66,4.13,100,62.53
8064,10.98,42.67,15.46,3.42,6.37,20.29,6.05,100,68.09
8065,29.78,52,33.62,39.79,28.23,51.78,14.68,100,56.74
8066,20.95,49.83,18.99,46.98,34.89,48.63,12.97,100,82.21
8067,4.86,34.95,8,2.47,3.01,24.93,1.06,100,50.53
9002,1.63,7.19,0.03,0.01,0.17,23.39,0.6,0,24.34
9003,1.55,6.48,0.09,0.02,0.06,18,0.85,0,20.23
9004,2.37,9.64,0.13,0.08,1.67,29.51,1.53,1.54,24.21
9005,2.17,9.15,0.06,0.04,0.29,27.79,0.96,0,31.76
9006,1.79,8.19,0.03,0.02,0.04,25.31,0.75,0,26.09
9007,2.8,10.89,0.08,0.07,0.73,33.09,1.2,0,36.04
9008,2.65,11.13,0.1,0.09,3.57,30.83,1.36,0.27,26.99
9009,4.06,12.7,0.68,0.42,10.71,42.98,4.22,21.61,52.39
9010,2.19,9.43,0.04,0.04,0.76,26.94,1.18,0.05,23.64
9011,2.46,9.65,0.13,0.16,1.6,33.11,1.49,2.27,38.29
9012,2.25,9.46,0.13,0.23,11.37,26.07,1.46,1.78,25.6
9013,2.73,9.92,0.19,0.31,6.69,32.8,2.38,1.72,32.72
9014,0.56,3.06,0.02,0.01,0.04,8.19,0.26,0,17.07
9015,1.44,6.45,0.05,0.05,0.08,19.42,0.33,0,26.07
9016,1.21,6.02,0.02,0.02,0.03,17.06,0.52,0,20.63
9017,1.58,7.41,0.04,0.03,0.03,26.63,0.42,0,28.64
10001,3.5,22.43,10.85,1.85,3.27,27.95,5.93,63.39,61.79
10002,13.95,42.91,19.77,44.19,30.43,44.93,22.74,100,79.37
10003,4.86,32.45,25.48,1.95,3.25,37.55,5.1,100,76.3
10004,4.11,24.76,10.12,1.48,4.68,37.57,4.82,70.75,51.48
10005,2.17,12.48,1.63,0.61,1.39,27.22,4.37,10.92,33.18
10006,6.36,36.29,16.25,1.23,8.91,40.23,4.35,100,68.06
10007,2.43,13.14,1.75,0.22,0.13,31.65,4.57,21.54,31.48
10008,3.33,22.22,4.59,0.48,2.72,26.96,4.58,51.53,51.45
10009,11.11,41.36,9.98,11.91,24.62,41.99,11.73,100,53.83
10010,4.1,27.48,7.56,2.6,8.13,27.49,2.75,100,67.21
10011,4.74,34.69,7.58,1.76,1.56,26.35,4.34,100,66.36
10012,3.09,16.06,3.54,0.56,0.4,35.72,3.49,33.17,32.76
10013,6.18,27.69,6.04,1.27,4.72,43.46,5.17,41.23,57.73
