"CVE","analfabeta","sin_primaria","sin_drenaje","sin_electricidad","sin_agua_entubada","con_hacinamiento","con_piso_tierra","habitantes_5000","salarios_minimos"
15070,3.73,14.41,0.21,0.77,11.41,46.7,5.12,4.55,39.9
15071,6.81,23.33,13.5,1.86,0.17,38.12,1.82,100,49.61
15072,4.74,13.91,0.15,0.6,0.85,43.94,3.54,32.62,37.46
15073,3.11,10.05,0.47,0.75,0.79,35.34,4.82,5.67,40.14
15074,16.42,37.74,24.82,5.32,29.08,58.5,9.54,90.68,51.31
15075,3.95,15.16,1.74,0.65,4.37,41.71,3.33,48.44,39.8
15076,3.46,11.12,1.1,0.69,22.04,39.57,2.54,6.46,36.92
15077,12.28,28.69,25.87,2.62,13.07,47.1,9.49,100,61.5
15078,11.16,29.56,12,0.92,7.95,47.13,6.91,100,52.7
15079,5.72,23.22,24.69,3.63,3.8,40.35,2.44,100,59.93
15080,22.63,40.97,36.05,5.03,35.29,49.8,11.27,100,72.55
15081,1.96,8.21,0.12,0.32,1.3,33.81,2.33,2.99,26.45
15082,15.45,32.45,18.11,2.86,31.57,44.53,10.96,63.94,56.02
15083,2.98,11.96,0.39,2.11,7.15,45.62,3.64,49.73,36.68
15084,5.22,19.21,3.1,2.28,9.36,47.2,4.43,50.57,41.65
15085,15.4,32.9,22.72,2.4,5.38,46.5,8.68,68.65,68.5
15086,12.46,31.52,28.37,2.46,8.91,52.66,6.07,100,63.57
15087,10.86,31.35,10.72,1.47,1.8,56.46,14.51,80.1,50.8
15088,7.4,21.67,3.18,1.08,6.61,46.72,8.98,77.05,39.45
15089,3.55,15.19,0.76,1.79,1.09,46.15,6.03,44.08,37.65
15090,8.19,20.98,2.13,1.41,5.7,45.55,10.16,34.23,52.05
15091,3.83,13.66,0.58,0.23,0.61,42.12,2.85,8.64,32.5
15092,3.47,13.25,0.79,0.63,9.23,40.75,2.79,35.68,33.3
15093,4.25,16.04,4,0.95,5.74,44.8,4.37,57.47,31.68
15094,5.15,19.74,3.53,1.31,7.39,47.78,14.52,27.76,53.11
15095,4.06,13.74,1.74,0.88,7.99,37.99,3.51,20.02,31.34
15096,3.86,18.51,2.79,0.81,8.8,37.75,2.35,14.05,34.95
15097,11.31,30.47,18.4,4.59,16.67,51.77,8.35,100,63.72
15098,3.54,15.16,1.02,1.26,0,42,5.99,100,45.5
15099,3.18,11.49,1.68,0.35,10.18,35.5,2.98,10.57,34.27
15100,3.52,13.66,0.55,1.09,35.8,50.24,6.39,5.95,37.85
15101,4.89,15.96,2.52,0.99,2.26,47.39,9.41,40.1,52.05
15102,9.16,27.6,14.91,1.6,11.34,40.1,4.4,100,59.53
15103,2.83,10.43,0.52,0.27,3.32,39.84,6.08,22.7,33.24
15104,2.57,10.17,0.06,0.04,1.54,28.95,1.68,0.01,28.84
15105,21.25,37.7,23.78,1.03,62.34,42.15,5.94,100,68.69
15106,3.99,12.2,1.5,0.48,6.53,30.59,3.08,10.19,27.32
15107,7.19,28.21,4.39,0.4,26.78,33.29,3.32,37.47,49.27
15108,3.23,12.56,0.11,0.17,0.09,38.61,2.64,2.34,31.54
15109,2.14,8.8,0.06,0.1,0.42,29.03,1.77,1.2,38.95
15110,8.38,24.59,6.72,2.13,4.46,43.83,8,49.52,36.29
15111,15.3,36.76,23.29,5.64,17.14,60.93,8.16,100,60.79
15112,12.14,30.45,24.15,3.61,3.18,52.1,10.33,80.44,45.29
15113,9.06,33.29,9.42,2.27,8.22,50.11,11.56,84.15,52.7
15114,17.35,40.81,38.78,5.97,42.58,59.99,8.36,100,40.26
15115,6.38,17.42,3,0.32,3.51,44.66,5.68,32.36,31.32
15116,13.31,33.56,2.35,0.22,2.28,45.33,5.9,100,45.08
15117,14.21,39.15,38.08,7.47,47.45,51.05,13.07,100,67.56
15118,6.31,17.19,3.32,1.26,11.1,41.98,6.63,29.62,38
15119,14.49,37.06,17.01,1.87,22.93,53.52,10.04,100,76.43
15120,4.1,14.32,0.76,0.68,4.27,45.03,2.97,29.4,32.91
15121,1.61,7,0.12,0.47,1.88,20.91,1.53,1.9,28.73
15122,4.56,16.7,0.06,0.18,0.63,52.03,4.27,0.36,39.53
15123,21.28,42.17,26.54,5.17,52.13,46.05,16.66,72.84,69.72
15124,19.66,43.49,15.23,5.35,32.61,66.36,11.7,100,63.19
15125,3.02,13.33,0.36,1.04,7.4,48.28,2.37,33.69,40.97
16001,10.87,30.83,3.28,3.53,8.53,43.11,29.14,38.72,55.78
16002,19.08,46.84,8.78,8.37,13.57,42.44,13.61,45.72,46.31
16003,11.89,35.76,2.19,0.98,0.35,36.71,6.05,57.89,59.36
16004,12.18,40.35,7.35,0.83,2.39,33.14,4.38,65.75,70.56
16005,9.24,26.01,8.85,2.74,37.75,50.6,13.92,100,59.18
16006,11.38,30.91,3.56,0.91,3.43,42.16,16.76,19.93,43.75
16007,11.84,30.24,14.23,4.4,22.15,45.2,9.29,100,69.88
16008,16.81,45.1,34,33.04,47.37,52.83,45.99,100,61.77
16009,12.39,34.11,2.14,2.18,13.6,43.49,15.95,52.38,47.03
16010,18.67,38.38,16.16,11.21,22.67,41.4,21.74,51.64,44.32
16011,9.36,32.19,1.23,0.17,0.84,38.25,5.18,100,47.34
16012,15.71,43.57,3.85,0.77,3.58,46.19,15.52,51.21,41.43
16013,21.33,46.65,16.68,7.12,41.72,45.28,12.44,100,73.19
16014,12.68,38.35,3.91,1.59,4.39,39.64,10.29,48.31,32.44
16015,13.75,42.72,11.86,10.57,6.4,36.72,19.73,38.78,54.39
16016,13.88,43.46,4.57,0.84,1.67,29.46,12.44,100,68.99
16017,13.96,37.6,12.03,1.96,5.54,47.31,8.09,100,66.31
16018,12.32,35.35,1.52,0.35,6.82,35.73,8.22,100,63.13
16019,15.48,40.62,3.7,2.84,6.84,34.72,4.21,30.97,44.64
16020,13.43,37.93,1.93,1.29,0.69,40.74,10.44,63.73,50.08
16021,23.15,44.38,3.19,2.25,3.81,52.13,38.86,100,61.76
16022,10.72,30.7,2.73,1.99,7.19,37.35,12.3,76.03,48.34
16023,13.67,44.86,1.37,0.43,1.29,31.89,4.5,37.38,58.16
16024,14.22,31.53,1.13,1.93,6.05,40.77,39.79,21.48,55.36
16025,16.35,33.37,8.56,2.56,2.72,47.5,32.24,61.28,60.42
16026,12.64,43.65,10.74,13.4,12.4,42.78,18.66,100,79.5
16027,17.48,49.13,5.93,0.16,11,30.36,4.69,100,69.21
16028,8.48,38.52,2.56,0.35,1.74,25.81,1.66,100,45.72
16029,18.69,43.22,30.89,5.21,30.88,58.12,28.42,100,58.92
16030,13.93,46.5,3.27,0.84,1,24.57,3.42,100,59.09
16031,15.52,43.5,10.8,3.71,9.84,42,7.32,100,67.18
16032,13,36.15,2.05,1.08,7.29,39.42,17.69,100,64.89
16033,14.16,36.88,5.55,1.43,6.21,43.34,15.62,40.78,53.34
16034,10.41,33.27,4.3,2.62,9.45,44.55,15.74,48.53,53.21
16035,19.51,42.09,19.03,2.69,21.34,48.16,20.58,71.32,58.91
16036,12.29,41.01,0.61,0.49,0.15,27.53,5.43,41.89,51.35
16037,14.51,48.11,7,1.1,1.82,28.06,11.29,100,75.03
16038,18.96,40.05,8.87,2.91,53.45,44.74,21.79,47.86,54.96
16039,10.27,31.65,1.96,1.25,1.42,47.44,10.42,100,47.16
16040,12.03,36.22,3.54,1.36,5.23,41.22,19.58,58.66,60.89
16041,10.79,35.65,5.33,1.7,8.49,44.76,8.9,100,63.6
16042,14.19,45.31,1.88,0.49,0.35,33.81,7.09,100,47.51
16043,11.11,33.59,0.45,0.67,2.5,38.13,3.85,11.06,38.76
16044,11.45,40.22,3.28,0.96,0.97,27.51,3.6,100,64.51
16045,9.51,28.28,2.57,0.7,5.03,28.68,3.32,29.14,35.22
16046,15.57,36.7,4.25,0.97,5.77,42.7,8.75,100,72.13
16047,13.61,34.05,5.82,1.52,4.65,48.53,11.82,74.62,70.15
16048,11.65,38.58,2.58,1.48,0.86,37.56,7.69,100,49.61
16049,16.67,42.94,13.13,19.01,17.76,50.22,23.26,62.26,64.98
16050,11.92,34.17,8.88,2.52,6.45,42.21,9.94,57.16,62.01
16051,6.88,26.07,3.96,0.44,1.41,26.68,1.76,26.81,40.56
16052,7.15,20.11,2.1,0.99,5.5,37.51,6.37,10.19,22.13
16053,4.22,14.58,0.88,0.45,4.73,24.03,4.8,11.98,32.04
16054,11.32,42.52,7.53,0.29,1.54,32.4,7.21,100,71.5
16055,13.99,34.13,5.9,1.44,12.17,46.28,14.18,27.79,45.85
16056,18.74,38.22,1.86,1.86,18.59,51.01,40.56,62.16,62.74
16057,20.26,45.07,28,13.94,38.78,48.34,17.68,100,73.37
16058,7.85,30.42,0.31,1.17,3.26,40.8,11.19,21.57,43.11
16059,14.14,41.88,4.61,2.12,1.37,40.07,18.52,100,67.47
16060,8.91,35.05,2.24,0.5,0.58,35.57,4.22,100,47.41
16061,11.96,34.93,3.02,2.7,39.7,59.39,7.03,100,50.37
16062,14.89,40.23,5.11,1.42,0.42,39.35,6.16,48.51,54.75
16063,14.16,46.85,7.44,1.34,1.41,34.13,7.81,65.36,77.3
16064,15.28,40.93,15.19,1.42,2.95,47.39,20.38,64.31,61.08
16065,14.15,30.83,2.73,0.97,20.42,41.12,25.47,45.66,61.49
16066,8.9,25,0.67,0.8,5.74,38.83,17.95,37.01,48.25
16067,14.27,44.21,5.64,0.83,1.62,29.86,5.71,100,67.38
16068,9.36,34.14,0.84,1.13,1.37,42.91,5.8,38.99,21.07
16069,7.35,24.53,1.34,0.32,2.92,29,1.35,16.32,39.68
16070,7.81,30.15,0.68,0.18,0.46,32.27,4.96,9.47,38.7
16071,11.74,39.81,6.79,0.39,2.54,35.41,4.43,54.93,62.05
16072,10.91,33.9,2.5,1.66,5.88,38.46,12.11,32.8,66.67
16073,14.28,34.27,7.89,1.11,5.46,39.4,20.82,42.68,59.81
16074,15.33,41.78,4.5,1.44,0.79,36.16,5.02,32.23,50.84
16075,11.72,33.2,1.45,1.35,12.65,36.27,17.87,38.87,29.15
16076,8.54,26,0.7,0.43,1.66,35.06,2.98,11.55,39.73
16077,23.21,43.19,7.01,1.79,44.11,44.55,20.06,100,60.91
16078,14.04,39.28,2.74,1.29,1.14,35.71,11.6,43.83,53.19
16079,14.77,37.21,0.73,1.43,11.1,53.09,14.25,46.01,51.69
16080,13.55,35.57,9.17,2.66,7.06,46.76,11.29,100,56.84
16081,22.11,51,16.2,3.87,26.47,47.96,15.81,100,88.47
16082,13.09,34.1,2.42,1.48,6.91,43.51,14.78,54.55,47.37
16083,12.23,41,2.43,2.81,9.51,51.06,18.18,77.06,30.44
16084,16.99,43.46,3.09,1.44,4.16,46.64,28.43,30.54,54.26
16085,14.17,39.7,1.98,1.1,6.92,34.36,13.94,53.89,44.02
16086,11.61,34.59,2.73,0.27,2.67,34.96,6.77,37.1,48.44
16087,9.76,35.16,1.79,0.71,3.81,37.43,7.79,52.5,33.08
16088,6.29,20.52,1.9,0.6,0.63,35.71,4.41,77.09,25.45
16089,13.89,38.06,3.16,0.67,20.3,42.36,8.68,33.78,36.02
16090,9.85,30.66,0.76,1.42,5.31,45.34,26.51,44.29,39.53
16091,11.03,34.24,0.86,0.9,4.75,34.27,11.64,48.76,41.97
16092,25.03,50.86,20.91,9.55,54.6,48.05,20.11,100,74.67
16093,10.73,28.25,19.74,2.39,20,48.46,11.96,100,63.97
16094,14.15,48.57,5.57,0.53,0.75,25.73,7.09,100,53.85
16095,12.32,39.82,2.57,1.36,2.5,28.65,5.08,39.87,41.96
16096,23.87,51.93,18.42,12.09,25.66,46.87,18.24,100,52.09
16097,21.37,47.39,18.22,4.47,27.26,46.24,32.89,77.53,70.47
16098,9.39,31.45,7.4,2.44,15.53,42.58,18.74,64.95,66.12
16099,21.43,47.33,15.67,6.55,55.43,45,13.92,100,79.44
16100,13.5,33.43,3.58,1.38,14.42,43.23,16.91,100,62.78
16101,20.21,48.36,33.66,23.93,39.4,48.33,19.77,100,76.07
16102,6.73,21.47,0.41,0.88,4.36,32.69,9.56,10.33,33.42
16103,11.58,34.5,2.42,0.59,0.66,36.05,4.9,48.9,48.71
16104,15.51,42.55,6.6,0.42,1.16,29.98,5.56,100,42.66
16105,10.42,34.73,1.77,0.51,2.25,34.86,5.45,43.4,36.73
16106,11.45,33.53,1.25,0.42,1.27,38.05,5.53,20.51,42.95
16107,6.65,22.48,0.49,0.65,1.74,29.12,7.23,28.11,42.13
16108,8.51,26.2,0.67,0.65,11.52,29.29,3.72,19.35,39.73
16109,10.57,40.3,4.74,0.87,2.98,23.27,1.39,100,60.09
16110,12.71,35.85,3.68,1.47,3.98,34.97,8.21,65.98,63.7
16111,9.03,32.61,1.08,1,5.47,48.14,14.17,100,45.05
16112,10.58,25.83,3.61,2.24,11,43.63,17.55,41.8,50.36
16113,13.55,39.14,2.48,0.47,1.11,30.7,2.17,74.08,63.44
17001,11.54,25.45,7.14,0.95,5.89,38.35,9.72,68.46,51.98
17002,6.75,20.98,3,2.58,14.67,37.72,15.26,57.97,42.65
17003,14.41,31.99,4.94,1.19,20.97,45.86,18.21,48.04,68.29
17004,10.44,25.56,3.73,1.12,8.85,40.26,11.26,51.48,44.24
17005,12.37,34.43,7,1.45,1.52,35.18,9.38,100,67.38
17006,6.04,16.67,0.77,0.55,5.9,34.03,6.08,11.9,40.05
17007,3.17,10.95,0.32,0.22,2.56,24.33,2.35,4.8,26.27
17008,6.16,16.97,1.06,0.52,0.8,35.02,6.12,19.56,34.59
17009,4.12,15.23,1.42,0.71,31.14,42.56,4.93,64.48,35.41
17010,8.25,23.27,3.7,1.28,26.33,41.77,6.81,66.21,52.84
17011,4.14,12.67,0.39,0.23,3.63,28.63,3.51,3.72,26.27
17012,6.73,18.27,1.85,0.67,4.13,31.62,7.31,34.17,37.16
17013,8.5,23.86,4.9,0.52,34.77,42.28,8.8,44.38,55.48
17014,9.77,25.66,3.48,0.73,1.97,33.28,10.86,100,45.8
17015,12.82,30.35,6.88,1.59,3.05,42.99,16.18,34.75,53.04
17016,7.02,23.59,3.31,2.46,6.92,47.67,13.84,100,72.37
17017,10.33,22.64,3.36,1.31,9.35,40.22,23.32,31.52,55.93
17018,7.69,21.02,1.33,0.64,2.32,38.66,5.42,9.56,35.76
17019,12.36,29.56,6.44,0.79,20.62,40.66,12.27,52.45,65.27
17020,5.1,14.65,3.36,1.48,40.6,34.68,7.85,66.06,41.94
17021,9.83,25,4.93,1.42,0.91,36.72,12.46,100,51.15
17022,8.1,25.79,4.13,1.87,2.33,47.17,20.29,12.86,72.84
17023,7.66,21.54,6.27,1.07,55.94,51.3,9.75,100,64.54
17024,9.11,22.49,2.55,1.29,6.92,35.46,12.55,44.24,45.29
17025,9.38,24.29,4.06,0.83,11.83,34.52,13.39,41.86,53.53
17026,6.98,19.79,4.85,1.23,20.96,44.82,8.96,51.71,44.84
17027,6.84,20.27,5.25,1.97,41.17,51.07,14.41,42.55,63.18
17028,7.32,20.8,2.48,1.47,7.17,40.23,12.11,28.7,36.78
17029,6.54,18.21,2.13,1.2,10.26,37.42,8.7,19.76,37.64
17030,7.42,21.99,3.04,2.75,16.93,48.7,12.02,36.83,48.13
17031,5.6,15.32,1.01,0.55,0.94,29.41,6.46,7.85,40.24
17032,5.72,21.56,5.14,1.35,60.76,39.14,4.43,44.02,58.92
17033,9,24.23,4.82,0.62,21.31,49.83,11.76,60.39,67.46
18001,8.04,23.63,8.41,2.22,6.25,39.67,6.27,47.66,52.43
18002,6.81,25.11,2.01,0.38,0.3,28.07,1.87,55.65,54.47
18003,8.58,31.98,2.89,1.12,1.55,29.29,5.18,100,48.21
18004,7.28,27.71,2.16,0.97,6.66,36.25,3.61,42.11,37.98
18005,14.08,33.92,32.14,30.67,24.62,62.64,14.74,100,83.3
18006,6.43,22.78,1.1,0.92,3.8,30.17,2.5,14.56,41.1
18007,8.37,26.69,7.19,3.45,7.01,48.15,8.12,68.44,63.95
18008,3.81,16.31,0.68,0.37,1.02,29.17,1.67,27.29,32.59
18009,33.85,56.12,69.1,61.55,51.54,67.75,29.18,100,78.14
18010,9.41,30.56,8.62,3.34,7.17,40.78,7.34,100,66.48
18011,9.72,29.73,11.26,6.97,7.87,44.27,7.44,40.13,51.03
18012,7.27,28.14,3.42,1.03,3.39,36.18,5.01,76.38,44.58
18013,7.79,28.96,3.36,0.83,1,29.18,2.75,100,46.46
18014,9.55,32.41,5.25,3.63,3.1,35.76,9.07,100,49.24
18015,7.68,27.81,3.78,0.83,24.63,36.7,3.6,69.76,49.54
18016,8.27,28.91,2.3,0.87,12.97,35.71,3.45,63.5,53.78
18017,3.12,12.51,0.87,0.66,1.01,26.36,1.78,10.6,29.66
18018,6.51,25.26,1.84,0.45,17.05,35.86,3.07,27.71,50.7
18019,14.03,41.52,42.6,34.49,25.16,52.67,21,100,73.21
18020,4.23,17.39,0.94,0.6,2.49,36.35,2.49,19.11,21.74
19001,2.78,15.73,1.45,1.94,6.68,42.31,2.19,100,20.02
19002,4.58,27.78,1.2,1.29,3.12,26.12,0.94,100,36.96
19003,5.8,39.81,2.76,1.42,4.43,17.03,0.3,100,50.85
19004,2.74,17.93,0.38,0.18,3.52,32.06,1.46,20.03,15.19
19005,4.17,23.63,2.08,3.03,6.96,35.84,4.12,10.02,42.6
19006,1.11,6.17,0.01,0.05,0.16,31.52,1.08,2.56,15.87
19007,10.7,37.94,6.14,5.96,13.68,44.38,15.04,100,76
19008,3.87,18.6,0.83,1.09,3.09,34.15,1.57,100,42.26
19009,2.62,15.38,0.54,0.55,6.83,32.87,1.74,21.21,16.53
19010,2.42,12.84,0.31,0.96,2.42,50.69,2.62,40.54,12.95
19011,5.6,26.88,1.61,1.41,5.71,30.31,0.55,8.73,25.46
19012,2.26,11.95,0.14,0.13,0.67,42.68,1.23,13.79,18.98
19013,4.77,28.71,1.93,1.14,10.71,28.86,0.8,17.19,19.28
19014,13.35,37.62,8.3,3.94,39.88,43.17,7.26,71.02,71.97
19015,6.44,38.82,2,1.47,8.11,23.78,1.24,100,35.43
19016,5.81,29.52,4.05,2.52,12.95,36.98,3.31,100,22.82
19017,8.97,34.09,6.36,1.8,19.11,44.96,4.54,82.44,67.8
19018,2.03,9.42,0.2,0.56,2.14,46.42,3.07,5.37,15.96
19019,1.45,6.4,0.01,0.02,0.08,13.58,1.21,0.03,9.77
19020,5.45,28.38,1.73,3.62,10.39,30.26,1.24,100,17.95
19021,2.02,9.92,0.25,0.25,2.65,37.51,3.31,1.53,14.18
19022,5.32,28.85,2.29,3.19,13.89,32.66,3.77,56.13,34.09
19023,4.55,34.84,2.76,2.39,8.85,21.96,0.79,100,35.94
19024,7.38,36.14,10.78,10.29,22.62,47.29,18.23,100,68.08
19025,1.5,7.66,0.15,0.22,0.24,39.04,0.97,9.55,12.1
19026,1.92,9.67,0.07,0.05,0.47,25.37,1.38,0.65,12.06
19027,6.17,35.87,2.97,1.21,4.99,17.8,0.71,100,55.89
19028,5.29,21.69,3.17,1.58,2.22,39.91,3.93,100,24.76
19029,3.68,23.69,1.19,0.61,2.78,33.47,1.95,17.75,33.44
19030,7.54,34,5.42,9.99,7.8,45.62,7.68,100,57.24
19031,1.63,8.6,0.18,0.1,2.8,42.59,2.46,5.48,16.53
19032,4.56,25.09,2.95,0.6,2.5,34.92,2.1,6.04,36.85
19033,3.07,20.23,1.12,1.14,4.33,37.69,3.97,19.79,36.16
19034,3.18,16.13,0.49,0.15,4.86,42.04,1.06,100,13.51
19035,4.35,25.58,1.17,0.35,0.93,17.86,0.23,100,36.09
19036,14.2,43.83,2.48,3.47,19.36,46.41,3.28,100,76.24
19037,6.54,26.65,3.19,2.36,7.27,45.17,3.97,100,28.44
19038,3.42,18.19,1.68,0.86,7.4,34.17,2.79,23.69,23.2
19039,2.31,10.62,0.11,0.06,0.42,25.89,1.86,0,19.35
19040,5.48,25.83,0.97,2.63,6.91,31.23,1.07,100,31.79
19041,3.08,15.78,0.51,0.76,7.3,41.08,3.99,73.78,6.4
19042,6.63,35.59,2.86,0.93,13.64,27.26,2.94,100,28.76
19043,11.09,43.7,10.98,3.43,10.94,39.24,7.17,100,66.41
19044,3.41,16.65,0.7,0.53,3.64,31.08,1.04,4.62,27.53
19045,3.65,16.63,1.46,2.14,35.69,47.41,4.4,53.6,16.4
19046,1.23,7.27,0.01,0.02,0.05,17.49,0.84,0,9.75
19047,3.22,15.53,0.22,0.51,2.74,39.18,0.61,0.48,15.85
19048,2.3,11.01,0.12,0.14,1.36,29.87,1.6,0.23,17.97
19049,2.31,14.19,1.47,0.83,7.63,28.6,3.33,8.97,17.1
19050,5.94,31.73,2.72,2.4,12.23,32.42,0.89,100,35.9
19051,4.03,20.18,4.49,0.83,4.26,27.31,3.57,100,43.39
20001,26.29,44.78,2.68,2.86,2.31,48.24,23.77,100,87.94
20002,17.65,39.8,8.41,3.14,16.53,47.68,27.17,70.58,70.08
20003,31.17,42.98,5.29,6.33,33.27,47.18,21.4,100,85.04
20004,14.53,37.32,5.65,1.88,1.39,36.68,8.42,100,68.49
20005,16.2,34.74,1.63,1.62,3.52,32.5,5,51.17,56.11
20006,9.41,22.64,1.19,4.58,28.61,47.04,25.45,25.45,55.95
20007,34.95,64.9,5.86,1.45,18.91,39.49,39.17,100,92.87
20008,11.46,40.32,7.72,6.31,0.12,35.71,13.9,100,85.87
20009,17.5,34.84,1.34,4.11,10.7,46.17,7.35,100,84.08
20010,9.11,24.8,1.15,1.54,8,26.49,2.36,100,55.05
20011,32.46,56.57,26.19,0.69,3.54,45.93,32.06,100,80.75
20012,27.77,49.27,2.71,14.45,44.62,65.84,18.32,100,75.49
20013,12.47,40.7,0.86,0.22,1.22,25.64,17.64,100,64.84
20014,9.7,22.33,1.65,1.91,1.47,38.31,6.8,4.04,39.65
20015,44.21,67.97,27.86,3.23,71.54,65.62,16.53,100,92.21
20016,58.74,77.5,17.77,9.39,14.71,77.57,26.15,100,93.57
20017,26.79,53.55,1.46,3.31,40.93,52.35,41,100,87.44
20018,11.09,53.41,8.77,6.7,10.23,41.7,23.72,100,83.15
20019,20.72,56.24,0.23,2.2,5.74,46.07,32.55,100,89.97
20020,35,52.74,5.67,12.69,9.24,65.93,23.92,100,64.52
20021,15.1,35.41,5.78,2.75,7.75,45.38,17.21,43.27,58.59
20022,9.89,38.97,8.39,7.97,5.59,26.42,9.24,100,74.4
20023,6.38,19.86,1.98,9.28,51.06,42.65,16.45,32.93,45.62
20024,36.03,64.17,4.07,7.81,17.62,59.5,24.46,100,85.6
20025,17.48,42.65,4.39,2.09,40.19,48.25,9.16,3.08,62.01
20026,16.86,34.41,3.5,3.19,32.85,45.01,35.28,100,74.87
20027,37.56,64.49,2.12,2.89,22.95,45.87,10.7,100,85.02
20028,19.43,40.49,6.23,2.31,34.13,50.72,27.68,50.46,58.95
20029,45.7,64.41,1.55,23.67,86.83,56.48,23.56,100,86.93
20030,8.4,22.56,1.24,2.11,3.41,27.17,1.89,5.86,30.49
20031,29.81,42.63,2.36,9.86,16.33,50.03,23.92,100,60.5
20032,26.02,49.46,10.26,0.77,46.27,40.98,8.13,100,80.36
20033,4.31,15.17,1.2,3.56,5.55,31.72,8.26,100,37.65
20034,16.81,44.57,4.42,1.62,12.99,39.39,3.1,100,65.16
20035,2,6.77,0.18,0,0,23.4,6.84,100,41.33
20036,23.05,49.31,3.62,4.2,1.27,57.14,20.65,100,88.11
20037,32.54,55.57,13.5,11.28,4.54,53.49,40.36,100,81.04
20038,26.25,43.69,2.54,12.8,11.62,45.47,39.7,100,79.67
20039,7.53,20.79,2.47,1.9,12.66,39.51,7.78,24.05,43.75
20040,50.63,65.72,1.04,8.82,39.07,72.5,17.29,100,88.6
20041,35.54,49.98,2.86,4.85,55.5,58.48,25.56,64.91,73.02
20042,10.71,30.66,0.68,1.98,3.06,47.7,38.42,100,68.66
20043,14.25,30.43,1.93,1.39,4.99,49.02,5.71,19.58,46.32
20044,14.31,37.54,2.56,1.58,8.18,43.37,8.76,24.2,63.87
20045,2.69,13.08,0.53,1.19,10.39,39.66,6.95,100,31.45
20046,17.79,42.07,3.73,3.91,32.55,38.75,20.66,100,84.84
20047,8.22,35.62,2.15,0,0,26.47,0,100,75.76
20048,25.68,49.42,0.94,2.02,53.78,76.96,33.05,100,92.84
20049,10.19,34.79,2.37,0.79,21.4,46.28,49.34,100,60.9
20050,31.42,53.77,3.18,8,37.81,52.71,11.7,100,82.67
20051,35.87,71.45,2.57,2.37,57.59,65.77,22.5,100,84.84
20052,14.26,30.6,5.68,7.45,7.01,41.98,18.28,100,64.41
20053,19.28,37.09,4.75,0.83,9.55,37.14,4.61,100,58.12
20054,7.53,30.61,2.93,0.73,0.24,41.73,32.27,100,62.65
20055,18.04,42.79,9.84,0.6,4.98,41.78,10.37,100,75.16
20056,19.18,40.95,5.78,1.04,6.18,57.82,18.69,100,79.11
20057,12.63,31.25,2.34,2.67,36.41,38.55,8.16,50.17,55.84
20058,37.43,59.38,5.04,6.06,65.5,58.26,22.8,100,84.78
20059,15.9,36.01,1.52,4.45,46.58,52.38,26.17,42.16,52.23
20060,24.73,37.99,5.36,8.3,13.63,50,46.25,100,86.21
20061,29.66,51.77,13.78,5.05,83.76,55.84,22.61,100,80.25
20062,5.99,20.97,0,0,0,34.59,22.18,100,57.35
20063,2.1,11.22,1.24,2.26,41.46,35.24,6.19,100,37.69
20064,12.02,33.83,6.39,6.93,9.87,46.38,25.8,100,77.24
20065,38.95,64.06,9.75,1.46,6.45,32.31,23.81,100,82.35
20066,20.51,42.86,5.21,5.5,7.21,38.44,8.99,100,71.89
20067,3.9,12.03,0.24,0.95,10.1,29.95,7.17,3.16,30.19
20068,10.44,26.81,2.75,2.55,50.61,44.87,27.32,29.64,42.65
20069,18.01,44.9,2.39,2.69,7.68,67.53,42.46,100,70.3
20070,26.51,40.29,17.19,7.85,26.52,53.91,31.93,14.13,76.82
20071,22.82,47.09,4.35,15.49,23.46,66.72,34.42,100,72.74
20072,18.49,39.93,5.86,2.79,73.19,54.11,28.43,100,50.62
20073,15.34,31.79,4.09,3.81,4.11,54.02,24.31,65.75,56.33
20074,9.28,33.48,0,2.62,0.79,64.66,13.1,100,98.41
20075,17.92,43.9,4.69,1.54,0.04,34.79,1.61,100,69.33
20076,12.61,40.71,8.02,4.36,14.18,48.04,21.82,100,76.45
20077,3.2,17.28,0.76,2.14,39.89,44.76,9.82,100,40.22
20078,6.94,22.73,2.01,0.09,10.9,28.08,11.45,100,52.2
20079,5.7,16.95,1.23,1.65,7.83,39.5,3.39,7.01,29.24
20080,31.61,52,3.13,2.29,0.61,31,45.61,100,72.93
20081,30.11,56.52,7.02,4.39,5.07,32.7,23.38,100,77.96
20082,21.77,39.8,4.4,5.29,5.09,49.73,23.76,100,84.68
20083,5.56,19.11,0.27,4.49,13.11,45.37,13.28,14.41,36.42
20084,2.72,12.9,1.6,0.46,1.03,33.43,6.16,100,30.76
20085,28.54,52.47,1.46,22.6,42.36,74.92,47.42,100,81.91
20086,18.48,34.29,4.01,6.87,23.27,30.77,33.79,100,70.1
20087,7.12,21.94,3.64,1.68,73.22,47.15,17.91,100,58.44
20088,16.96,40.01,2.17,12.58,26.12,59.69,20.03,100,88.68
20089,16.45,40.76,7.67,1.35,0.98,46.73,12.44,100,60.83
20090,18.1,32.69,7.48,2.86,62.81,48.01,19.33,100,65.74
20091,3.23,11.91,0.37,1.35,15.2,26.24,8.76,100,24.64
20092,11,31.32,0.07,2.38,34.43,33.24,8.27,100,65.27
20093,9.52,28.29,2.3,3.56,0,34.64,17.57,100,87.01
20094,9.25,30.66,1.43,4.21,42.8,50.7,32.2,100,73.79
20095,31.52,52.58,1.26,8.4,71.36,69.44,37.07,100,84.73
