Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.2495E-4,34.25259786,0.465779694,0.300707656,0.278372591,0.317596567
1.25501E-4,34.503021182,0.46687575,0.298869589,0.280513919,0.317596567
1.2599E-4,34.754612114,0.467842439,0.297031523,0.284796574,0.317596567
1.26477E-4,35.007057251,0.468803996,0.295193456,0.288008565,0.321888412
1.26704E-4,35.260251901,0.469250048,0.29335539,0.290149893,0.321888412
1.2734E-4,35.501572084,0.470496967,0.291609227,0.294432548,0.326180258
1.27764E-4,35.756661931,0.471325119,0.289771161,0.295503212,0.326180258
1.28714E-4,36.000421464,0.4731717,0.288024998,0.296573876,0.330472103
1.29143E-4,36.258279453,0.474000698,0.286186931,0.299785867,0.339055794
1.29705E-4,36.504146243,0.47508341,0.284440768,0.302997859,0.339055794
1.30333E-4,36.751208428,0.476288418,0.282694605,0.305139186,0.339055794
1.30883E-4,37.012421572,0.477339291,0.280856539,0.309421842,0.343347639
1.31353E-4,37.261636878,0.47823461,0.279110376,0.311563169,0.347639485
1.31847E-4,37.511704017,0.47917058,0.277364213,0.312633833,0.35193133
1.32217E-4,37.762583289,0.479870271,0.27561805,0.313704497,0.35193133
1.32775E-4,38.001090548,0.480921238,0.27396379,0.313704497,0.360515021
1.33302E-4,38.253796938,0.481910466,0.272217627,0.317987152,0.360515021
1.33974E-4,38.507768801,0.483165732,0.270471464,0.319057816,0.364806867
1.34641E-4,38.763055036,0.484405807,0.268725301,0.32012848,0.373390558
1.35138E-4,39.005810833,0.48532675,0.267071041,0.322269807,0.373390558
1.35721E-4,39.263205558,0.486401465,0.265324878,0.326552463,0.373390558
1.36354E-4,39.508196902,0.487563576,0.263670619,0.32869379,0.373390558
1.36657E-4,39.75393852,0.488117701,0.262016359,0.331905782,0.377682403
1.37154E-4,40.000439142,0.489025413,0.260362099,0.335117773,0.381974249
1.37588E-4,40.255957797,0.489814877,0.258615936,0.336188437,0.381974249
1.38255E-4,40.509695838,0.491023815,0.256961676,0.338329764,0.386266094
1.38576E-4,40.758905034,0.491603397,0.255307417,0.340471092,0.386266094
1.39255E-4,41.008943715,0.492824479,0.253653157,0.343683084,0.386266094
1.39803E-4,41.260053325,0.493807488,0.251998897,0.346895075,0.386266094
1.40453E-4,41.51225032,0.494965717,0.250344637,0.347965739,0.386266094
1.40826E-4,41.751359968,0.495629246,0.248782281,0.352248394,0.386266094
1.41534E-4,42.00544879,0.496882737,0.247128021,0.353319058,0.39055794
1.42159E-4,42.260901754,0.497985109,0.245473762,0.357601713,0.394849785
1.42683E-4,42.502971508,0.498903813,0.243911405,0.360813704,0.394849785
1.43178E-4,42.760328692,0.499770697,0.242257145,0.36509636,0.394849785
1.43593E-4,43.004117619,0.500494028,0.240694789,0.367237687,0.394849785
1.44076E-4,43.263008861,0.50133263,0.239040529,0.371520343,0.394849785
1.44766E-4,43.508533958,0.502527091,0.237478173,0.374732334,0.399141631
1.45243E-4,43.755041409,0.503349814,0.235915817,0.376873662,0.399141631
1.45702E-4,44.002332127,0.504138499,0.23435346,0.381156317,0.399141631
1.4643E-4,44.250598263,0.505384421,0.232791104,0.384368308,0.399141631
1.46838E-4,44.514539404,0.506080557,0.231136844,0.384368308,0.399141631
