x,y,species avg
373.0,373.0,0.5334877
374.0,374.0,0.028815206
375.0,375.0,0.48776868
376.0,376.0,0.3443193
377.0,377.0,0.13180694
378.0,378.0,0.4048665
379.0,379.0,0.62428373
380.0,380.0,0.2347591
381.0,381.0,0.6276313
382.0,382.0,0.058851175
383.0,383.0,0.50730544
384.0,384.0,0.14434613
385.0,385.0,0.6093867
386.0,386.0,0.48227072
387.0,387.0,0.5735499
388.0,388.0,0.5540493
389.0,389.0,0.102575675
390.0,390.0,0.2133012
391.0,391.0,0.058818452
392.0,392.0,0.508515
393.0,393.0,0.007917183
394.0,394.0,0.1848115
395.0,395.0,0.60992795
396.0,396.0,0.6018952
397.0,397.0,0.39001966
398.0,398.0,0.6202096
399.0,399.0,0.50403595
400.0,400.0,0.48384872
401.0,401.0,0.03552589
402.0,402.0,0.6260543
403.0,403.0,0.0072681014
404.0,404.0,0.14616556
405.0,405.0,0.018038884
406.0,406.0,0.5513069
407.0,407.0,0.36313376
408.0,408.0,0.32862982
409.0,409.0,0.22545172
410.0,410.0,0.024854798
411.0,411.0,0.29614165
412.0,412.0,0.17466405
413.0,413.0,0.033133857
414.0,414.0,0.18704508
415.0,415.0,0.09518618
416.0,416.0,0.39382717
417.0,417.0,0.20440911
418.0,418.0,0.42024782
419.0,419.0,0.0058151446
420.0,420.0,0.5948695
421.0,421.0,0.12876831
422.0,422.0,0.002153311
423.0,423.0,0.5676646
424.0,424.0,0.57756835
425.0,425.0,0.037844036
426.0,426.0,0.02815651
427.0,427.0,0.31604528
428.0,428.0,0.47313407
429.0,429.0,0.29041743
430.0,430.0,0.20715314
431.0,431.0,0.4797916
432.0,432.0,0.11209965
433.0,433.0,0.62200683
434.0,434.0,0.07998734
435.0,435.0,0.23971884
436.0,436.0,0.5733216
437.0,437.0,0.36739978
438.0,438.0,0.04442472
439.0,439.0,0.611179
440.0,440.0,0.19880141
441.0,441.0,0.09943122
442.0,442.0,0.5367939
443.0,443.0,0.58617556
444.0,444.0,0.47691432
445.0,445.0,0.65554273
446.0,446.0,0.07363109
447.0,447.0,0.14614753
448.0,448.0,0.037096668
449.0,449.0,0.2736748
450.0,450.0,0.52171713
451.0,451.0,0.1428048
452.0,452.0,0.027516132
453.0,453.0,0.51556253
454.0,454.0,0.33391976
455.0,455.0,0.5434821
456.0,456.0,0.20293474
457.0,457.0,0.4871718
458.0,458.0,0.60624427
459.0,459.0,0.1881
460.0,460.0,0.43339777
461.0,461.0,0.22138722
462.0,462.0,0.493398
463.0,463.0,0.18873669
464.0,464.0,0.080869436
465.0,465.0,0.044222966
466.0,466.0,0.45133367
467.0,467.0,0.122097746
468.0,468.0,0.23118138
469.0,469.0,0.47927243
470.0,470.0,0.3929935
471.0,471.0,0.19810879
472.0,472.0,0.50890535
473.0,473.0,0.44307747
474.0,474.0,0.30683112
475.0,475.0,0.4220711
476.0,476.0,0.053325072
477.0,477.0,0.4462037
478.0,478.0,0.12236027
479.0,479.0,0.20744696
480.0,480.0,0.11647249
481.0,481.0,0.23744301
482.0,482.0,0.47875032
483.0,483.0,0.09952527
484.0,484.0,0.039288774
485.0,485.0,0.33206096
486.0,486.0,0.52277434
487.0,487.0,0.14354677
488.0,488.0,0.019293671
489.0,489.0,0.12620516
490.0,490.0,0.017960938
491.0,491.0,0.6242772
492.0,492.0,0.5135375
493.0,493.0,0.420017
494.0,494.0,0.09557627
495.0,495.0,0.45753255
496.0,496.0,0.23495089
497.0,497.0,0.33294025
498.0,498.0,0.35980898
499.0,499.0,0.53154325
500.0,500.0,0.0624891
501.0,501.0,0.5277885
502.0,502.0,0.46778485
503.0,503.0,0.3868808
504.0,504.0,0.3808353
505.0,505.0,0.52228165
506.0,506.0,0.10728219
507.0,507.0,0.101136275
508.0,508.0,0.3936112
509.0,509.0,0.46284676
510.0,510.0,0.060322654
511.0,511.0,0.61916405
512.0,512.0,0.45109496
513.0,513.0,0.115544476
514.0,514.0,0.5349715
515.0,515.0,0.6096858
516.0,516.0,0.009129837
517.0,517.0,0.65749794
518.0,518.0,0.44185674
519.0,519.0,0.005492763
520.0,520.0,0.092407174
521.0,521.0,0.42064008
522.0,522.0,0.12270477
523.0,523.0,0.17384413
524.0,524.0,0.4983382
525.0,525.0,0.53363425
526.0,526.0,0.49495918
527.0,527.0,0.093968935
528.0,528.0,0.02074934
529.0,529.0,0.17295513
530.0,530.0,0.28035283
531.0,531.0,0.045251254
532.0,532.0,0.18005437
533.0,533.0,0.22605674
534.0,534.0,0.5238609
535.0,535.0,0.029610809
536.0,536.0,0.25597253
537.0,537.0,0.4700068
538.0,538.0,0.34666875
539.0,539.0,0.6253725
540.0,540.0,0.5484708
541.0,541.0,0.33256674
542.0,542.0,0.5206075
543.0,543.0,0.5295853
544.0,544.0,0.45312527
545.0,545.0,0.4298831
546.0,546.0,0.3874486
547.0,547.0,0.14749533
548.0,548.0,0.19139244
549.0,549.0,0.464582
550.0,550.0,0.46049628
551.0,551.0,0.103168815
552.0,552.0,0.44167003
553.0,553.0,0.5817846
554.0,554.0,0.24394631
555.0,555.0,0.013121422
556.0,556.0,0.08153688
557.0,557.0,0.3420871
558.0,558.0,0.23252352
559.0,559.0,0.6505807
560.0,560.0,0.0022332892
561.0,561.0,0.39281276
562.0,562.0,0.41172972
563.0,563.0,0.50237775
564.0,564.0,0.415099
565.0,565.0,0.58359134
566.0,566.0,0.3802807
567.0,567.0,0.1269615
568.0,568.0,0.0061258036
569.0,569.0,0.0010330493
570.0,570.0,0.24293964
571.0,571.0,0.0036323525
572.0,572.0,0.72604704
573.0,573.0,0.5019939
574.0,574.0,0.58390164
575.0,575.0,0.10218273
576.0,576.0,0.55578697
577.0,577.0,0.0045481985
578.0,578.0,0.045066025
579.0,579.0,0.062430535
580.0,580.0,0.26759258
581.0,581.0,0.40648663
582.0,582.0,0.012591109
583.0,583.0,0.0038802645
584.0,584.0,0.5021478
585.0,585.0,0.6016709
586.0,586.0,0.37736693
587.0,587.0,0.10045405
588.0,588.0,0.19077757
589.0,589.0,0.035729084
590.0,590.0,0.35172948
591.0,591.0,0.45437938
592.0,592.0,0.61186606
593.0,593.0,0.010924217
594.0,594.0,0.019435763
595.0,595.0,0.08774678
596.0,596.0,0.53573364
597.0,597.0,0.0331308
598.0,598.0,0.7331247
599.0,599.0,0.0027434805
600.0,600.0,0.22702426
601.0,601.0,0.27052742
602.0,602.0,0.32105657
603.0,603.0,0.45961043
604.0,604.0,0.53074366
605.0,605.0,0.09866598
606.0,606.0,0.14049569
607.0,607.0,0.056245513
608.0,608.0,0.69137317
609.0,609.0,0.41493583
610.0,610.0,0.035558492
611.0,611.0,0.009351461
612.0,612.0,0.0055631837
613.0,613.0,0.5523771
614.0,614.0,0.38311005
615.0,615.0,0.012743447
616.0,616.0,0.0051326132
617.0,617.0,0.19143184
