x,y,species_0 logistic values
303.0,303.0,0.6027535
304.0,304.0,0.49145737
305.0,305.0,0.47884673
306.0,306.0,0.4604883
307.0,307.0,0.09860847
308.0,308.0,0.4950574
309.0,309.0,0.55109245
310.0,310.0,0.44958448
311.0,311.0,0.3750121
312.0,312.0,0.09502349
313.0,313.0,0.015978996
314.0,314.0,0.5004395
315.0,315.0,0.17780244
316.0,316.0,0.5760721
317.0,317.0,0.49655336
318.0,318.0,0.354908
319.0,319.0,0.3512218
320.0,320.0,0.030889584
321.0,321.0,0.23959649
322.0,322.0,0.11659594
323.0,323.0,0.3369842
324.0,324.0,0.2306064
325.0,325.0,0.09709681
326.0,326.0,0.2170541
327.0,327.0,0.18909383
328.0,328.0,0.116185986
329.0,329.0,0.63212144
330.0,330.0,0.42985088
331.0,331.0,0.20615466
332.0,332.0,0.40068027
333.0,333.0,0.51647437
334.0,334.0,0.44924238
335.0,335.0,0.0036298595
336.0,336.0,0.12985049
337.0,337.0,0.44789714
338.0,338.0,0.47943076
339.0,339.0,0.5074063
340.0,340.0,0.47871083
341.0,341.0,0.37599108
342.0,342.0,0.29927891
343.0,343.0,0.025812814
344.0,344.0,0.451465
345.0,345.0,0.008055816
346.0,346.0,0.4452319
347.0,347.0,0.31035855
348.0,348.0,0.14387009
349.0,349.0,0.26583803
350.0,350.0,0.01586358
351.0,351.0,0.22126335
352.0,352.0,0.09285688
353.0,353.0,0.2538599
354.0,354.0,0.22301064
355.0,355.0,0.045908824
356.0,356.0,0.003917338
357.0,357.0,0.6189315
358.0,358.0,0.42038086
359.0,359.0,0.491005
360.0,360.0,0.13917084
361.0,361.0,0.0079390425
362.0,362.0,0.13352285
363.0,363.0,0.10799337
364.0,364.0,0.7066902
365.0,365.0,0.53215003
366.0,366.0,0.22483832
367.0,367.0,0.052528422
368.0,368.0,0.46101677
369.0,369.0,0.10151966
370.0,370.0,0.01877873
371.0,371.0,0.55893517
372.0,372.0,0.5109583
373.0,373.0,0.49301568
374.0,374.0,0.017020203
375.0,375.0,0.5136151
376.0,376.0,0.34594113
377.0,377.0,0.14622195
378.0,378.0,0.4129378
379.0,379.0,0.6302393
380.0,380.0,0.15201399
381.0,381.0,0.6153733
382.0,382.0,0.07999569
383.0,383.0,0.49183825
384.0,384.0,0.13672394
385.0,385.0,0.6493261
386.0,386.0,0.4571969
387.0,387.0,0.6174393
388.0,388.0,0.5495492
389.0,389.0,0.07014639
390.0,390.0,0.13266805
391.0,391.0,0.058249667
392.0,392.0,0.5044537
393.0,393.0,0.011263283
394.0,394.0,0.09572871
395.0,395.0,0.65167165
396.0,396.0,0.56497985
397.0,397.0,0.37156597
398.0,398.0,0.6104847
399.0,399.0,0.5455151
400.0,400.0,0.47139797
401.0,401.0,0.03931062
402.0,402.0,0.6198324
403.0,403.0,0.0065085418
404.0,404.0,0.16172367
405.0,405.0,0.0154011985
406.0,406.0,0.5544921
407.0,407.0,0.3549187
408.0,408.0,0.34100124
409.0,409.0,0.20917593
410.0,410.0,0.02665166
411.0,411.0,0.29385144
412.0,412.0,0.17398338
413.0,413.0,0.04121301
414.0,414.0,0.19951454
415.0,415.0,0.11934066
416.0,416.0,0.354797
417.0,417.0,0.22354972
418.0,418.0,0.4251959
419.0,419.0,0.006272939
420.0,420.0,0.6186768
421.0,421.0,0.15810248
422.0,422.0,0.0018578568
423.0,423.0,0.5767479
424.0,424.0,0.57319856
425.0,425.0,0.025373116
426.0,426.0,0.025770849
427.0,427.0,0.3658813
428.0,428.0,0.47185954
429.0,429.0,0.28843248
430.0,430.0,0.12264382
431.0,431.0,0.5203259
432.0,432.0,0.115256265
433.0,433.0,0.6079733
434.0,434.0,0.09137848
435.0,435.0,0.2522352
436.0,436.0,0.569476
437.0,437.0,0.3956865
438.0,438.0,0.047696542
439.0,439.0,0.5920459
440.0,440.0,0.231798
441.0,441.0,0.08190081
442.0,442.0,0.5449637
443.0,443.0,0.58221734
444.0,444.0,0.46477288
445.0,445.0,0.6756805
446.0,446.0,0.07524878
447.0,447.0,0.16073294
448.0,448.0,0.03861219
449.0,449.0,0.15268962
450.0,450.0,0.51767296
451.0,451.0,0.17988569
452.0,452.0,0.02994574
453.0,453.0,0.5155849
454.0,454.0,0.37804964
455.0,455.0,0.5556626
456.0,456.0,0.21112053
457.0,457.0,0.46033967
458.0,458.0,0.5691917
459.0,459.0,0.21915554
460.0,460.0,0.41234025
461.0,461.0,0.25482804
462.0,462.0,0.5122601
463.0,463.0,0.20867603
464.0,464.0,0.085249
465.0,465.0,0.04883492
466.0,466.0,0.45681167
467.0,467.0,0.12607214
468.0,468.0,0.22347713
469.0,469.0,0.43342924
470.0,470.0,0.38572043
471.0,471.0,0.23408009
472.0,472.0,0.49409205
473.0,473.0,0.46659872
474.0,474.0,0.31511965
475.0,475.0,0.42299017
476.0,476.0,0.05705307
477.0,477.0,0.43368554
478.0,478.0,0.15300725
479.0,479.0,0.13171709
480.0,480.0,0.1250449
481.0,481.0,0.22350578
482.0,482.0,0.4524258
483.0,483.0,0.09381937
484.0,484.0,0.04643043
485.0,485.0,0.348578
486.0,486.0,0.53017104
487.0,487.0,0.15027203
488.0,488.0,0.01562138
489.0,489.0,0.1223633
490.0,490.0,0.021860393
491.0,491.0,0.60746473
492.0,492.0,0.45217505
493.0,493.0,0.45734167
494.0,494.0,0.07375781
495.0,495.0,0.45279264
496.0,496.0,0.23844025
497.0,497.0,0.299641
498.0,498.0,0.34982046
499.0,499.0,0.52949935
500.0,500.0,0.06372177
501.0,501.0,0.53220105
502.0,502.0,0.46282038
503.0,503.0,0.36773032
504.0,504.0,0.3275582
505.0,505.0,0.5071756
506.0,506.0,0.11065291
507.0,507.0,0.11800363
508.0,508.0,0.39673555
509.0,509.0,0.44884226
510.0,510.0,0.057592183
511.0,511.0,0.6465009
512.0,512.0,0.462236
513.0,513.0,0.12170332
514.0,514.0,0.5266678
515.0,515.0,0.63750196
516.0,516.0,0.009496594
517.0,517.0,0.669424
518.0,518.0,0.48459744
519.0,519.0,0.0057814717
520.0,520.0,0.10668202
521.0,521.0,0.4335807
522.0,522.0,0.1423915
523.0,523.0,0.17756951
524.0,524.0,0.51441616
525.0,525.0,0.5347834
526.0,526.0,0.4565439
527.0,527.0,0.11055311
528.0,528.0,0.02274602
529.0,529.0,0.20848985
530.0,530.0,0.28194532
531.0,531.0,0.051232688
532.0,532.0,0.16551459
533.0,533.0,0.19631879
534.0,534.0,0.5212696
535.0,535.0,0.044738565
536.0,536.0,0.22593994
537.0,537.0,0.48790702
538.0,538.0,0.33218417
539.0,539.0,0.6377328
540.0,540.0,0.52900624
541.0,541.0,0.3405881
542.0,542.0,0.5564621
543.0,543.0,0.57914174
544.0,544.0,0.46127224
545.0,545.0,0.51185167
546.0,546.0,0.39887217
547.0,547.0,0.16673957
548.0,548.0,0.18435863
549.0,549.0,0.47981834
550.0,550.0,0.4871263
551.0,551.0,0.106760345
552.0,552.0,0.38543868
553.0,553.0,0.62201613
554.0,554.0,0.26528662
555.0,555.0,0.014727222
556.0,556.0,0.0658448
557.0,557.0,0.36376613
558.0,558.0,0.20744924
559.0,559.0,0.6606778
560.0,560.0,0.0017087117
561.0,561.0,0.40590376
562.0,562.0,0.38539192
563.0,563.0,0.501714
564.0,564.0,0.46230668
565.0,565.0,0.56817454
566.0,566.0,0.40382096
567.0,567.0,0.13998789
568.0,568.0,0.008878628
569.0,569.0,0.0010783713
570.0,570.0,0.27558944
571.0,571.0,0.0036825538
572.0,572.0,0.7386466
573.0,573.0,0.555925
574.0,574.0,0.5666125
575.0,575.0,0.10776011
576.0,576.0,0.5456843
577.0,577.0,0.004212708
578.0,578.0,0.049538508
579.0,579.0,0.057061825
580.0,580.0,0.30359757
581.0,581.0,0.39279622
582.0,582.0,0.016991388
583.0,583.0,0.004265175
584.0,584.0,0.50386715
585.0,585.0,0.60954577
