X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
83.0,83.0,train,2.1316093372473552E-4,70.79399537846524,0.5937241094856351
85.0,85.0,train,2.0180986017548293E-4,67.33457970361131,0.5804597071776927
87.0,87.0,train,5.3685355456833054E-5,8.945106014437403,0.2690348426256011
88.0,88.0,train,1.698489871903349E-4,54.73102758419393,0.5379877988458527
89.0,89.0,train,1.7564705027936023E-4,57.03198213801515,0.5463196663507733
90.0,90.0,train,1.1587032846373806E-4,28.997346367699702,0.4427044191946355
92.0,92.0,train,1.7147944206104664E-4,55.52569092586208,0.540361546790816
93.0,93.0,train,1.2104763363019208E-4,31.60229315901913,0.4535143800696933
94.0,94.0,train,9.935277843635102E-5,21.994316490857464,0.4051653491618177
95.0,95.0,train,8.420538552851948E-5,16.840503179931275,0.3660021697959076
96.0,96.0,train,1.391563553742893E-4,40.28960955329853,0.488235424049492
97.0,97.0,train,1.5903102309967215E-4,49.69503647021187,0.5215950937824106
98.0,98.0,train,1.4293814174167385E-4,42.245578783670084,0.49493687577916545
100.0,100.0,train,1.2070628097071695E-4,31.402941586754842,0.45281458228339977
101.0,101.0,train,6.271843422876616E-5,10.929985652109897,0.30069095918972777
102.0,102.0,train,1.0166985023928221E-4,23.040347122046303,0.410733405149592
103.0,103.0,train,1.9251589054309688E-4,64.14240551056355,0.5689365319880374
104.0,104.0,train,9.552872249029586E-5,20.505082398388712,0.39574214013063513
105.0,105.0,train,1.2268828846515338E-4,32.34970004403269,0.45685301821994234
106.0,106.0,train,1.3491394084011064E-4,38.0361886180078,0.480502878474214
107.0,107.0,train,1.1182232788227025E-4,27.5119329180293,0.4339498025898042
108.0,108.0,train,7.171659326907429E-5,13.16133852916902,0.32961143447320695
109.0,109.0,train,1.9589478724478833E-4,65.19461284589357,0.5731983824774229
110.0,110.0,train,7.444343017491075E-5,14.009834620110995,0.3379091655798212
111.0,111.0,train,1.7126377001414175E-4,55.41885774684397,0.5400489548012575
112.0,112.0,train,1.1029308859144044E-4,26.823112973753783,0.4305705055156049
114.0,114.0,train,1.6592164401072946E-4,52.819007730322234,0.532168132059218
115.0,115.0,train,1.6187610492844203E-4,51.035082499065346,0.526018005297524
116.0,116.0,train,1.5739363125796656E-4,48.8922212973599,0.5190120099603802
118.0,118.0,train,1.280249471037704E-4,34.803842559403606,0.46743615702344776
119.0,119.0,train,9.667717479206362E-5,20.90802456472724,0.3986033669223584
121.0,121.0,train,1.6470893098804806E-4,52.34006071217335,0.530341352319357
122.0,122.0,train,1.1096524006621503E-4,27.160550040362686,0.4320607756500306
