x,y,species median
410.0,410.0,0.02665166
411.0,411.0,0.2939051
412.0,412.0,0.18818697
413.0,413.0,0.039510217
414.0,414.0,0.18116477
415.0,415.0,0.087112546
416.0,416.0,0.354797
417.0,417.0,0.18562001
418.0,418.0,0.41100204
419.0,419.0,0.005981623
420.0,420.0,0.59214693
421.0,421.0,0.120093755
422.0,422.0,0.0021059092
423.0,423.0,0.5715468
424.0,424.0,0.57875746
425.0,425.0,0.03311314
426.0,426.0,0.025770849
427.0,427.0,0.34059945
428.0,428.0,0.47244012
429.0,429.0,0.2889143
430.0,430.0,0.21343812
431.0,431.0,0.46834323
432.0,432.0,0.118409894
433.0,433.0,0.6215645
434.0,434.0,0.08423915
435.0,435.0,0.2388486
436.0,436.0,0.57026005
437.0,437.0,0.3538616
438.0,438.0,0.044803284
439.0,439.0,0.6032791
440.0,440.0,0.20317747
441.0,441.0,0.09678187
442.0,442.0,0.54258287
443.0,443.0,0.58221734
444.0,444.0,0.464775
445.0,445.0,0.6547656
446.0,446.0,0.07312659
447.0,447.0,0.1538555
448.0,448.0,0.03667097
449.0,449.0,0.28725076
450.0,450.0,0.5208247
451.0,451.0,0.13749789
452.0,452.0,0.02994574
453.0,453.0,0.5155849
454.0,454.0,0.33391845
455.0,455.0,0.5556626
456.0,456.0,0.21112053
457.0,457.0,0.4770473
458.0,458.0,0.6146657
459.0,459.0,0.20016085
460.0,460.0,0.41234025
461.0,461.0,0.24856177
462.0,462.0,0.50559884
463.0,463.0,0.18405612
464.0,464.0,0.0824352
465.0,465.0,0.044506233
466.0,466.0,0.4543461
467.0,467.0,0.121753044
468.0,468.0,0.23726754
469.0,469.0,0.48287117
470.0,470.0,0.38656828
471.0,471.0,0.18910661
472.0,472.0,0.5002569
473.0,473.0,0.44498044
474.0,474.0,0.3219723
475.0,475.0,0.42299017
476.0,476.0,0.056957465
477.0,477.0,0.4461579
478.0,478.0,0.11106749
479.0,479.0,0.21714671
480.0,480.0,0.11310829
481.0,481.0,0.24613623
482.0,482.0,0.48679236
483.0,483.0,0.09785662
484.0,484.0,0.04124683
485.0,485.0,0.3187883
486.0,486.0,0.52032256
487.0,487.0,0.15027203
488.0,488.0,0.018238418
489.0,489.0,0.1223633
490.0,490.0,0.016313957
491.0,491.0,0.6249185
492.0,492.0,0.5317991
493.0,493.0,0.41023722
494.0,494.0,0.09380254
495.0,495.0,0.45279264
496.0,496.0,0.23844025
497.0,497.0,0.33951586
498.0,498.0,0.34982046
499.0,499.0,0.52949935
500.0,500.0,0.06372177
501.0,501.0,0.5271497
502.0,502.0,0.46282038
503.0,503.0,0.38539055
504.0,504.0,0.38537237
505.0,505.0,0.5114535
506.0,506.0,0.11065291
507.0,507.0,0.106313355
508.0,508.0,0.39673555
509.0,509.0,0.46650028
510.0,510.0,0.05895657
511.0,511.0,0.6181572
512.0,512.0,0.462236
513.0,513.0,0.12170332
514.0,514.0,0.5266678
515.0,515.0,0.61766636
516.0,516.0,0.008788381
517.0,517.0,0.6560115
518.0,518.0,0.46024477
519.0,519.0,0.0057814717
520.0,520.0,0.091350235
