Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.15496E-4,33.001809015,0.455656678,0.319345853,0.274207369,0
1.1582E-4,33.256222819,0.456352199,0.317369036,0.276778063,0
1.16402E-4,33.511551871,0.457596596,0.315392219,0.278491859,0
1.17002E-4,33.756727315,0.458872374,0.313505257,0.281919452,0
1.17486E-4,34.003008032,0.459897159,0.311618295,0.284490146,0
1.18002E-4,34.250239474,0.460986323,0.309731333,0.285347044,0
1.18481E-4,34.510392933,0.461994294,0.307754515,0.28706084,0
1.19013E-4,34.759759057,0.463107774,0.305867553,0.28706084,0
1.19788E-4,35.010587904,0.464721285,0.303980591,0.289631534,0
1.20228E-4,35.250580246,0.465633833,0.302183485,0.290488432,0
1.2082E-4,35.503708073,0.46685651,0.300296523,0.293916024,0
1.21323E-4,35.757900725,0.467891103,0.298409561,0.29562982,0
1.21792E-4,36.001042678,0.468851203,0.296612454,0.299057412,0
1.22218E-4,36.257356278,0.469721189,0.294725492,0.300771208,0
1.22666E-4,36.502267845,0.470631515,0.292928385,0.305055698,0
1.23014E-4,36.760249351,0.471337812,0.291041423,0.30848329,0
1.23561E-4,37.006883323,0.472442487,0.289244317,0.311910883,0
1.24293E-4,37.254659331,0.4739169,0.28744721,0.314481577,0
1.24688E-4,37.503646319,0.474707315,0.285650103,0.315338475,0
1.25089E-4,37.753382279,0.475506945,0.283852997,0.318766067,0
1.25833E-4,38.004263825,0.476987295,0.28205589,0.321336761,0
1.26214E-4,38.256237363,0.477741255,0.280258783,0.323050557,0
1.26688E-4,38.509088661,0.478676828,0.278461677,0.325621251,0
1.27145E-4,38.750211604,0.479575781,0.276754425,0.326478149,0
1.27714E-4,39.005068004,0.480689739,0.274957319,0.327335047,0
1.27963E-4,39.260786832,0.481176949,0.273160212,0.331619537,0
1.2835E-4,39.50425255,0.481929677,0.271452961,0.334190231,0
1.28825E-4,39.761456975,0.482852674,0.269655854,0.337617823,0
1.29419E-4,40.00685537,0.484001933,0.267948603,0.341902314,0
1.29861E-4,40.253182674,0.484852564,0.266241351,0.34361611,0
1.30348E-4,40.500475515,0.48578782,0.2645341,0.344473008,0
1.30903E-4,40.761701379,0.486849661,0.262736993,0.347043702,0
1.31242E-4,41.010725419,0.487495999,0.261029742,0.3479006,0
1.31692E-4,41.260616904,0.488351087,0.259322491,0.349614396,0
1.32343E-4,41.511469415,0.489581648,0.257615239,0.349614396,0
1.32979E-4,41.750392528,0.490781476,0.255997843,0.349614396,0
1.33474E-4,42.003532823,0.491709302,0.254290592,0.351328192,0
1.33987E-4,42.257774112,0.492668371,0.252583341,0.35218509,0
1.34515E-4,42.51285081,0.493651444,0.250876089,0.355612682,0
1.3505E-4,42.755367696,0.49464302,0.249258694,0.358183376,0
1.35646E-4,43.012664473,0.495744526,0.247551442,0.359040274,0
1.36024E-4,43.257191879,0.496439793,0.245934046,0.36075407,0
1.36556E-4,43.502575189,0.497415291,0.24431665,0.364181662,0
1.36896E-4,43.762387501,0.498037742,0.242609399,0.365895458,0
1.37402E-4,44.009247857,0.498960015,0.240992003,0.370179949,0
1.37876E-4,44.257005082,0.499820453,0.239374607,0.373607541,0
1.3824E-4,44.505569261,0.500480082,0.237757211,0.376178235,0
1.38802E-4,44.754815105,0.501493437,0.236139815,0.379605827,0
1.3914E-4,45.005038059,0.50210237,0.234522419,0.385604113,0
1.39629E-4,45.256002815,0.502978157,0.232905023,0.389031705,0
1.40127E-4,45.507793555,0.503868157,0.231287627,0.389031705,0
1.40486E-4,45.76035308,0.504508275,0.229670231,0.390745501,0
1.41052E-4,46.013764332,0.505514366,0.228052835,0.395029991,0
1.41566E-4,46.253972516,0.506423328,0.226525294,0.397600686,0
1.42114E-4,46.509274181,0.507387858,0.224907898,0.399314482,0
1.42674E-4,46.751371944,0.508372321,0.223380358,0.401028278,0
1.43131E-4,47.008552638,0.509170007,0.221762962,0.40445587,0
1.4366E-4,47.252313364,0.510093556,0.220235421,0.406169666,0
1.44151E-4,47.511295366,0.510945007,0.218618025,0.40874036,0
1.44708E-4,47.756860454,0.511909477,0.217090484,0.410454156,0
1.4518E-4,48.003376667,0.512721955,0.215562944,0.41302485,0
1.45853E-4,48.250919475,0.513877835,0.214035403,0.416452442,0
1.46317E-4,48.513904404,0.514671505,0.212418007,0.41730934,0
1.46623E-4,48.762919452,0.515193397,0.210890466,0.419023136,0
1.47275E-4,49.012710807,0.516301167,0.209362926,0.424164524,0
1.47577E-4,49.263321427,0.516812343,0.207835385,0.426735219,0
1.48183E-4,49.514732917,0.517836766,0.206307844,0.430162811,0
1.48835E-4,49.75243714,0.51893219,0.204870159,0.435304199,0
1.49605E-4,50.006163992,0.520220045,0.203342618,0.437874893,0
1.50239E-4,50.261074735,0.521275768,0.201815078,0.440445587,0
1.50834E-4,50.502005528,0.522261861,0.200377392,0.443873179,0
1.51469E-4,50.758924274,0.523310638,0.198849852,0.445586975,0
1.52028E-4,51.001884554,0.524228879,0.197412166,0.448157669,0
1.52567E-4,51.260824649,0.525111827,0.195884626,0.450728363,0
1.528E-4,51.505143152,0.52549209,0.19444694,0.454155955,0
1.533E-4,51.750041766,0.526306388,0.193009255,0.455012853,0
1.53905E-4,52.01115527,0.527288054,0.191481714,0.45672665,0
1.54256E-4,52.257695654,0.527855852,0.190044029,0.460154242,0
1.55046E-4,52.505156745,0.529129067,0.188606344,0.462724936,0
1.55477E-4,52.753546324,0.529821145,0.187168658,0.46529563,0
1.5616E-4,53.002920583,0.530911806,0.185730973,0.467009426,0
1.56846E-4,53.253399521,0.532003966,0.184293288,0.467866324,0
1.5731E-4,53.504800466,0.532739268,0.182855602,0.46958012,0
1.57792E-4,53.756927218,0.53350167,0.181417917,0.473007712,0
1.58282E-4,54.009838111,0.534273221,0.179980232,0.476435304,0
1.58713E-4,54.263491495,0.534949383,0.178542547,0.4781491,0
1.59316E-4,54.502053637,0.535892907,0.177194717,0.479862896,0
1.59611E-4,54.75720691,0.536352808,0.175757031,0.481576692,0
1.60296E-4,55.013101444,0.537417864,0.174319346,0.485861183,0
1.60858E-4,55.254064423,0.538286556,0.172971516,0.488431877,0
1.6149E-4,55.512038813,0.539261807,0.171533831,0.491002571,0
1.61808E-4,55.754505476,0.53975107,0.170186001,0.493573265,0
1.62336E-4,56.01377487,0.540559306,0.168748315,0.493573265,0
1.63034E-4,56.257839928,0.541625197,0.167400485,0.495287061,0
1.63486E-4,56.502753129,0.542311899,0.166052655,0.497857755,0
1.6403E-4,56.764764385,0.543135943,0.16461497,0.501285347,0
1.64726E-4,57.011291185,0.544187235,0.16326714,0.502999143,0
1.65361E-4,57.258904611,0.545141847,0.16191931,0.505569837,0
1.65842E-4,57.507304426,0.545861163,0.16057148,0.506426735,0
1.66632E-4,57.756750756,0.547039753,0.15922365,0.508997429,0
1.67144E-4,58.007070416,0.547798843,0.15787582,0.511568123,0
1.67772E-4,58.258305265,0.548727678,0.15652799,0.514138817,0
1.68299E-4,58.510517461,0.549503916,0.15518016,0.51756641,0
1.68662E-4,58.763267355,0.550037211,0.15383233,0.520137104,0
1.6947E-4,59.016892526,0.55122102,0.1524845,0.523564696,0
1.70616E-4,59.254989984,0.552887037,0.151226525,0.52613539,0
1.71181E-4,59.51129562,0.553704305,0.149878695,0.529562982,0
1.71592E-4,59.751191065,0.554297003,0.148620721,0.531276778,0
1.72097E-4,60.009002686,0.555022052,0.147272891,0.532990574,0
1.72577E-4,60.250271895,0.555710371,0.146014916,0.536418166,0
1.73482E-4,60.509961036,0.557001154,0.144667086,0.541559554,0
1.74138E-4,60.753263643,0.557932121,0.143409111,0.544987147,0
1.74709E-4,61.014935605,0.558739253,0.142061281,0.546700943,0
1.75161E-4,61.259877627,0.559376882,0.140803307,0.550128535,0
1.75395E-4,61.505254256,0.559706309,0.139545332,0.553556127,0
1.75744E-4,61.751080507,0.560195745,0.138287357,0.556126821,0
1.7645E-4,62.015241815,0.561183386,0.136939527,0.556983719,0
1.76907E-4,62.262660401,0.56181948,0.135681553,0.559554413,0
1.77485E-4,62.51079469,0.56262323,0.134423578,0.563838903,0
1.78312E-4,62.759807843,0.563765712,0.133165603,0.565552699,0
1.78779E-4,63.009775865,0.564408994,0.131907629,0.567266495,0
1.79579E-4,63.260851136,0.565506943,0.130649654,0.568980291,0
1.80208E-4,63.512803164,0.566365735,0.129391679,0.571550985,0
1.80662E-4,63.765524041,0.566983388,0.128133705,0.577549272,0
1.8111E-4,64.000666396,0.567591054,0.126965585,0.57840617,0
1.8175E-4,64.254676886,0.568456543,0.125707611,0.579263068,0
1.8226E-4,64.509513588,0.569143941,0.124449636,0.58269066,0
1.83028E-4,64.765243207,0.570174672,0.123191661,0.586118252,0
1.83628E-4,65.003587678,0.570976812,0.122023542,0.587832048,0
1.84517E-4,65.261212923,0.572160049,0.120765567,0.589545844,0
1.85108E-4,65.501491477,0.572942883,0.119597448,0.59125964,0
1.85929E-4,65.761378532,0.574024705,0.118339473,0.594687232,0
1.86423E-4,66.003501443,0.574673127,0.117171354,0.596401028,0
1.8737E-4,66.265138403,0.575911523,0.115913379,0.59982862,0
1.88071E-4,66.509165344,0.576822788,0.11474526,0.601542416,0
1.89113E-4,66.754397436,0.578171112,0.113577141,0.604113111,0
1.89597E-4,67.000644721,0.578794995,0.112409021,0.608397601,0
1.90341E-4,67.266675261,0.579749732,0.111151047,0.613538989,0
1.90964E-4,67.514541795,0.580544902,0.109982927,0.616109683,0
1.92306E-4,67.76360059,0.58224927,0.108814808,0.618680377,0
1.93179E-4,68.014136864,0.583351374,0.107646689,0.622107969,0
1.93636E-4,68.265574858,0.58392555,0.10647857,0.624678663,0
1.9423E-4,68.517719275,0.584669014,0.10531045,0.627249357,0
1.94822E-4,68.751184639,0.585407797,0.104232186,0.630676949,0
1.9557E-4,69.004927851,0.586337669,0.103064067,0.632390746,0
1.96353E-4,69.259728285,0.587306522,0.101895948,0.63496144,0
1.97033E-4,69.515561445,0.588144582,0.100727828,0.637532134,0
1.97476E-4,69.752308258,0.588688199,0.099649564,0.640102828,0
1.98126E-4,70.009464198,0.589483265,0.098481445,0.64353042,0
1.99005E-4,70.267660379,0.590554333,0.097313326,0.646958012,0
2.00113E-4,70.507215037,0.591895963,0.096235062,0.649528706,0
2.01282E-4,70.768318336,0.59330238,0.095066942,0.6520994,0
2.02631E-4,71.010571032,0.594913626,0.093988678,0.653813196,0
2.03549E-4,71.254321503,0.596002528,0.092910414,0.65638389,0
2.04525E-4,71.51949145,0.597153129,0.091742295,0.658097686,0
2.0532E-4,71.765412417,0.598086398,0.090664031,0.659811482,0
2.06116E-4,72.012257973,0.599015431,0.089585767,0.663239075,0
2.06551E-4,72.259891885,0.599522127,0.088507503,0.666666667,0
2.07059E-4,72.508159099,0.600111939,0.087429239,0.667523565,0
2.07988E-4,72.757215441,0.601185855,0.086350975,0.671808055,0
2.09146E-4,73.007598159,0.602516015,0.085272711,0.673521851,0
2.09946E-4,73.259111088,0.603429774,0.084194447,0.674378749,0
2.10863E-4,73.511719575,0.604472801,0.083116183,0.676092545,0
2.11826E-4,73.76519265,0.605561793,0.082037919,0.680377035,0
2.12732E-4,74.020005267,0.606579927,0.080959655,0.683804627,0
2.13801E-4,74.254755053,0.607776435,0.079971246,0.684661525,0
2.1487E-4,74.51191264,0.608964064,0.078892982,0.685518423,0
2.1642E-4,74.770803092,0.610674657,0.077814718,0.69151671,0
2.17195E-4,75.009433238,0.611523798,0.07682631,0.694087404,0
2.17789E-4,75.270469167,0.612172379,0.075748046,0.697514996,0
2.19233E-4,75.511069542,0.613740614,0.074759637,0.70008569,0
2.20071E-4,75.752796205,0.614644931,0.073771228,0.70437018,0
2.21538E-4,76.017901004,0.616216714,0.072692964,0.709511568,0
2.22838E-4,76.262313821,0.617599561,0.071704556,0.713796058,0
2.23996E-4,76.508055221,0.618822993,0.070716147,0.718080548,0
2.24884E-4,76.755024707,0.619755928,0.069727738,0.720651243,0
2.25789E-4,77.002941516,0.620701687,0.06873933,0.726649529,0
2.26662E-4,77.251735333,0.621609753,0.067750921,0.729220223,0
2.27545E-4,77.501733683,0.622523508,0.066762512,0.730934019,0
2.28709E-4,77.75271076,0.623722546,0.065774104,0.732647815,0
2.29673E-4,78.004869331,0.624708577,0.064785695,0.735218509,0
2.30497E-4,78.258002999,0.625548132,0.063797286,0.739502999,0
2.31484E-4,78.512214858,0.626548345,0.062808878,0.742930591,0
2.32248E-4,78.767140184,0.627318812,0.061820469,0.745501285,0
2.33164E-4,79.023312996,0.628238989,0.06083206,0.749785775,0
2.33796E-4,79.256849621,0.628871048,0.059933507,0.751499572,0
2.34767E-4,79.514647026,0.629838169,0.058945098,0.755784062,0
2.36446E-4,79.750452651,0.631497997,0.058046545,0.75664096,0
2.37392E-4,80.011107529,0.632426147,0.057058136,0.76092545,0
2.38114E-4,80.272579222,0.633132395,0.056069728,0.76520994,0
2.39084E-4,80.511246967,0.634075774,0.055171174,0.766066838,0
2.40136E-4,80.750955272,0.635094136,0.054272621,0.766923736,0
2.40863E-4,81.015542434,0.63579384,0.053284212,0.772922022,0
2.42545E-4,81.257165383,0.637403857,0.052385659,0.777206512,0
2.43647E-4,81.500283003,0.63845089,0.051487106,0.782347901,0
2.45053E-4,81.769144352,0.639778479,0.050498697,0.785775493,0
2.46161E-4,82.014893814,0.640816974,0.049600144,0.790059983,0
2.47317E-4,82.261543909,0.641894686,0.04870159,0.793487575,0
2.48354E-4,82.509524219,0.642856259,0.047803037,0.798628963,0
2.49784E-4,82.758713857,0.644173231,0.046904484,0.802056555,0
2.51038E-4,83.009139669,0.645320224,0.04600593,0.804627249,0
2.51958E-4,83.260682032,0.646157481,0.045107377,0.808054841,0
2.53064E-4,83.513261243,0.647158298,0.044208824,0.80891174,0
2.54131E-4,83.766875047,0.64811791,0.04331027,0.811482434,0
2.5506E-4,84.021690313,0.648949393,0.042411717,0.814910026,0
2.5615E-4,84.251698242,0.649920693,0.041603019,0.816623822,0
2.57853E-4,84.509101159,0.651426732,0.040704466,0.820051414,0
2.5986E-4,84.76814298,0.653184865,0.039805912,0.82176521,0
2.61109E-4,85.0026697,0.654270526,0.038997214,0.824335904,0
2.62582E-4,85.264613813,0.655542212,0.038098661,0.8260497,0
2.63614E-4,85.501447706,0.656427613,0.037289963,0.828620394,0
2.6479E-4,85.765543557,0.657430744,0.03639141,0.831191088,0
2.66344E-4,86.004769813,0.65874669,0.035582712,0.83461868,0
2.689E-4,86.272331683,0.660890964,0.034684159,0.838046272,0
2.70425E-4,86.515116835,0.662157286,0.033875461,0.842330763,0
2.71141E-4,86.758854277,0.66274815,0.033066763,0.846615253,0
2.72684E-4,87.003793852,0.664015347,0.032258065,0.850899743,0
2.74706E-4,87.277199055,0.665662021,0.031359511,0.854327335,0
