x,y,raw,cumulative,logistic
2489.0,2489.0,2.37152E-5,2.89591346,0.146670465
2490.0,2490.0,9.25506E-5,21.630421585,0.401476282
2491.0,2491.0,6.64718E-5,12.237109105,0.325130013
2492.0,2492.0,1.46588E-6,0.053482547,0.01051252
2493.0,2493.0,9.98325E-5,24.986195586,0.419803657
2494.0,2494.0,7.00199E-5,13.340771776,0.336642157
2495.0,2495.0,6.01973E-5,10.491047588,0.303762241
2496.0,2496.0,1.90922E-4,67.47634937,0.580492188
2497.0,2497.0,1.37704E-5,1.013541814,0.0907465
2498.0,2498.0,9.48236E-5,22.706771604,0.407320233
2499.0,2499.0,7.11843E-6,0.393570231,0.049060968
2500.0,2500.0,9.26516E-6,0.520797091,0.062925465
2501.0,2501.0,7.06644E-5,13.544874549,0.338691559
2502.0,2502.0,1.46238E-4,48.470017535,0.514535841
2503.0,2503.0,2.04032E-5,2.164030974,0.128825698
2504.0,2504.0,1.15499E-4,33.036458453,0.455664228
2505.0,2505.0,2.48207E-5,3.136602991,0.152465286
2506.0,2506.0,1.90566E-4,67.361888791,0.580037327
2507.0,2507.0,3.78313E-5,5.796023953,0.215187515
2508.0,2508.0,6.18945E-5,10.973607402,0.309674486
2509.0,2509.0,1.4769E-4,49.278090421,0.517004006
2510.0,2510.0,8.45608E-5,18.282381082,0.379987403
2511.0,2511.0,2.30989E-5,2.741394659,0.143405815
2512.0,2512.0,2.04806E-4,71.601360947,0.597482904
2513.0,2513.0,1.01914E-4,25.954391522,0.424837219
2514.0,2514.0,1.72364E-5,1.542999488,0.111051182
2515.0,2515.0,1.40361E-4,45.676095322,0.504286782
2516.0,2516.0,7.59998E-7,0.010695816,0.005478054
2517.0,2517.0,1.2865E-4,39.658465216,0.482511897
2518.0,2518.0,1.38513E-4,44.643895218,0.500972512
2519.0,2519.0,3.55203E-5,5.318629703,0.204733549
2520.0,2520.0,8.51073E-6,0.469101183,0.058099373
2521.0,2521.0,8.92354E-7,0.017838895,0.006425941
2522.0,2522.0,4.11213E-5,6.451346987,0.229604359
2523.0,2523.0,3.84275E-5,5.921944537,0.217839733
2524.0,2524.0,4.83107E-6,0.24362009,0.033829597
2525.0,2525.0,1.31427E-4,41.076408665,0.487846777
2526.0,2526.0,8.47679E-5,18.383998148,0.380563801
2527.0,2527.0,3.91458E-6,0.187500635,0.027588876
2528.0,2528.0,5.56135E-6,0.29665495,0.038745244
2529.0,2529.0,3.97456E-4,95.87570081,0.742310483
2530.0,2530.0,1.88662E-5,1.813641373,0.120288421
2531.0,2531.0,1.86282E-4,65.910311099,0.574488724
2532.0,2532.0,1.93338E-6,0.079565315,0.013818861
2533.0,2533.0,1.71966E-4,59.905779845,0.554835174
2534.0,2534.0,2.04641E-6,0.087143636,0.01461498
